,address,amount0_in,amount1_in,amount0_out,amount1_out,sender,to_address,transaction_hash,timestamp
0,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0,304519288031714083,554783991,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x2f76c9047f03b606cb078a1a364fa5b62ab4fe01,0x69d97e7d4fad073ac463cec928ec43fc6c4a9d96d6417d9285b7f99f4504c743,2023-03-19 16:44:00
1,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0,200000000000000000,364382023,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xbbf9f0f8e2f3a7e4513bb0715a2a6cb8c61dce34,0x9ae6b869e7e5e2673334f6684440281770648e22a08367c49d22d5fbc3e6e617,2023-03-19 16:44:00
2,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0,62271306139969573,113269927,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x1207a2a3f18215ff1bd0c8aa92db54e8d24fb94b,0x3d25651a6b0d586bdb46e9a50ef3f053faf998acb34b2ba03e57d5c69d374ba2,2023-03-19 16:43:00
3,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0,2032938561040587441,3698494969,0,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xb5e16e7a9150bfde21c5700a8214be8798a5c81d,0xbda26f15797fffecf41bbe3d6c719ab87fd066bd6f670f6b05fb3e6cc782b66d,2023-03-19 16:43:00
4,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,18328869237,0,0,10008000000000000000,0xf9234cb08edb93c0d4a4d4c70cc3ffd070e78e07,0xf9234cb08edb93c0d4a4d4c70cc3ffd070e78e07,0x90af58bb09099d9c0ecb6218cf88b78c8ba0f1504f14f669f74004dc09a9eca9,2023-03-19 16:43:00
5,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,400000000,0,0,218517168756104391,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xd3a9a2ebd567030bb1f1c3fb21a4a203d51c246b,0xfb81f6b0fc6191b06b3598a7494f2166ccf90a4e7dbbf9ec9aad51245d472720,2023-03-19 16:42:00
6,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0,2691710915746309289,4894330932,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x47b0c6d3c445b4083653c0e6c318bd25f6a94c04,0xfdc3e88b442103f87c135fcd39dce697b559ccfbbf3a5ee85f46a0878bbbf4e9,2023-03-19 16:41:00
7,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,400000000,0,0,218624190673038818,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x3af73bb96b335fc0fd2c4cf39ce95f3ff8c8de66,0x6e8ddef8231bc97c85acdd95796a4300f36281932ce5f987fab2002e8eec28d0,2023-03-19 16:41:00
8,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0,1126518839033901711,2048909019,0,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x375a213a0912fb1c024a940eb77f1891be04f841,0x14b2a76ba039b8c210407bbfa585f25d0fab898da753fbfa56c4118af9785018,2023-03-19 16:41:00
9,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,10000000000,0,0,5465466736637283969,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x65b9ad105b95290bcde1ed91f2f6688232ad5782,0x66c197ce85900ecf7f57ec8e1a6a707f459cb3d6924c98ff78d5d41df8f27ca7,2023-03-19 16:41:00
